Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - etherwake configuration has been changed  Time stamp - 2023-03-14 16:22:31, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:22:31, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-14 16:22:40, Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-14 16:22:43, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-14 16:22:50, Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-14 16:22:53, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ulogd configuration has been changed  Time stamp - 2023-03-14 16:22:59, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:22:59, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - simcard configuration has been changed  Time stamp - 2023-03-14 16:23:09, Router name - RUTX11  Event type - CONFIG  Event text - simcard configuration has been changed  Time stamp - 2023-03-14 16:23:12, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ddns configuration has been changed  Time stamp - 2023-03-14 16:23:18, Router name - RUTX11  Event type - CONFIG  Event text - ddns configuration has been changed  Time stamp - 2023-03-14 16:23:21, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ntpclient configuration has been changed  Time stamp - 2023-03-14 16:23:28, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - sms_utils configuration has been changed  Time stamp - 2023-03-14 16:23:37, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - vrrpd configuration has been changed  Time stamp - 2023-03-14 16:23:47, Router name - RUTX11  Event type - CONFIG  Event text - vrrpd configuration has been changed  Time stamp - 2023-03-14 16:23:50, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ioman configuration has been changed  Time stamp - 2023-03-14 16:23:57, Router name - RUTX11  Event type - CONFIG  Event text - ioman configuration has been changed  Time stamp - 2023-03-14 16:24:00, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - upnpd configuration has been changed  Time stamp - 2023-03-14 16:24:06, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - dhcp configuration has been changed  Time stamp - 2023-03-14 16:24:16, Router name - RUTX11  Event type - CONFIG  Event text - dhcp configuration has been changed  Time stamp - 2023-03-14 16:24:19, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - sqm configuration has been changed  Time stamp - 2023-03-14 16:24:32, Router name - RUTX11  Event type - CONFIG  Event text - sqm configuration has been changed  Time stamp - 2023-03-14 16:24:35, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - quota_limit configuration has been changed  Time stamp - 2023-03-14 16:24:42, Router name - RUTX11  Event type - CONFIG  Event text - quota_limit configuration has been changed  Time stamp - 2023-03-14 16:24:45, +37063897689, +37065259965, Passed
