Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:19:54, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:19:57, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-14 16:20:03, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:20:03, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - hostblock configuration has been changed  Time stamp - 2023-03-14 16:20:19, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:20:19, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:20:34, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:20:37, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-14 16:20:44, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-14 16:20:47, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-14 16:20:54, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:20:54, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-14 16:21:03, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-14 16:21:07, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-14 16:21:13, Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-14 16:21:17, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-14 16:21:23, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:21:23, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-14 16:21:32, Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-14 16:21:36, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:21:42, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:21:45, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-14 16:21:52, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-14 16:22:02, Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-14 16:22:05, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mwan3 configuration has been changed  Time stamp - 2023-03-14 16:22:11, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-14 16:22:21, Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-14 16:22:24, +37063897689, +37065259965, Passed
