Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 16:39:05, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 16:39:08, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-13 16:39:15, Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-13 16:39:18, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - hostblock configuration has been changed  Time stamp - 2023-03-13 16:39:25, Router name - RUTX11  Event type - CONFIG  Event text - hostblock configuration has been changed  Time stamp - 2023-03-13 16:39:28, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-13 16:39:34, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-13 16:39:43, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-13 16:39:47, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-13 16:39:53, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-13 16:40:03, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-13 16:40:06, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-13 16:40:13, Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-13 16:40:16, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-13 16:40:22, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-13 16:40:32, Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-13 16:40:35, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 16:40:41, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 16:40:45, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-13 16:40:51, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-13 16:41:01, Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-13 16:41:04, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mwan3 configuration has been changed  Time stamp - 2023-03-13 16:41:11, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-13 16:41:21, Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-13 16:41:24, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - etherwake configuration has been changed  Time stamp - 2023-03-13 16:41:31, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-13 16:41:41, Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-13 16:41:44, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-13 16:41:51, Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-13 16:41:54, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ulogd configuration has been changed  Time stamp - 2023-03-13 16:42:00, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - simcard configuration has been changed  Time stamp - 2023-03-13 16:42:09, Router name - RUTX11  Event type - CONFIG  Event text - simcard configuration has been changed  Time stamp - 2023-03-13 16:42:13, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ddns configuration has been changed  Time stamp - 2023-03-13 16:42:19, Router name - RUTX11  Event type - CONFIG  Event text - ddns configuration has been changed  Time stamp - 2023-03-13 16:42:22, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ntpclient configuration has been changed  Time stamp - 2023-03-13 16:42:29, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - sms_utils configuration has been changed  Time stamp - 2023-03-13 16:42:38, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - vrrpd configuration has been changed  Time stamp - 2023-03-13 16:42:48, Router name - RUTX11  Event type - CONFIG  Event text - vrrpd configuration has been changed  Time stamp - 2023-03-13 16:42:51, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ioman configuration has been changed  Time stamp - 2023-03-13 16:42:58, Router name - RUTX11  Event type - CONFIG  Event text - ioman configuration has been changed  Time stamp - 2023-03-13 16:43:01, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - upnpd configuration has been changed  Time stamp - 2023-03-13 16:43:07, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - dhcp configuration has been changed  Time stamp - 2023-03-13 16:43:16, Router name - RUTX11  Event type - CONFIG  Event text - dhcp configuration has been changed  Time stamp - 2023-03-13 16:43:20, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - sqm configuration has been changed  Time stamp - 2023-03-13 16:43:30, Router name - RUTX11  Event type - CONFIG  Event text - sqm configuration has been changed  Time stamp - 2023-03-13 16:43:33, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - quota_limit configuration has been changed  Time stamp - 2023-03-13 16:43:39, Router name - RUTX11  Event type - CONFIG  Event text - quota_limit configuration has been changed  Time stamp - 2023-03-13 16:43:43, +37063897689, +37065259965, Passed
