Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 15:55:44, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 15:55:47, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-13 15:55:53, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-13 15:55:56, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-13 15:56:03, Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-13 15:56:06, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-13 15:56:13, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-13 15:56:20, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-13 15:56:28, Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-13 15:56:35, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-13 15:56:42, Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-13 15:56:45, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-13 15:56:51, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-13 15:57:01, Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-13 15:57:04, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 15:57:11, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-13 15:57:14, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-13 15:57:20, Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-13 15:57:24, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-13 15:57:31, Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-13 15:57:34, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mwan3 configuration has been changed  Time stamp - 2023-03-13 15:57:41, Router name - RUTX11  Event type - CONFIG  Event text - mwan3 configuration has been changed  Time stamp - 2023-03-13 15:57:49, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-13 15:57:57, Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-13 15:58:00, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - etherwake configuration has been changed  Time stamp - 2023-03-13 15:58:07, Router name - RUTX11  Event type - CONFIG  Event text - etherwake configuration has been changed  Time stamp - 2023-03-13 15:58:10, +37063897689, +37065259965, Passed
