Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:16:30, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:16:33, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-14 16:16:39, Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-14 16:16:42, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-14 16:16:49, Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-14 16:16:52, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-14 16:16:58, Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-14 16:17:02, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - hostblock configuration has been changed  Time stamp - 2023-03-14 16:17:08, Router name - RUTX11  Event type - CONFIG  Event text - hostblock configuration has been changed  Time stamp - 2023-03-14 16:17:11, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:17:17, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-14 16:17:27, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-14 16:17:30, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-14 16:17:36, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-14 16:17:40, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-14 16:17:47, Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-14 16:17:50, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-14 16:17:57, Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-14 16:18:00, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:18:06, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-14 16:18:09, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-14 16:18:16, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-14 16:18:26, Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-14 16:18:29, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mwan3 configuration has been changed  Time stamp - 2023-03-14 16:18:35, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-14 16:18:45, Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-14 16:18:48, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - etherwake configuration has been changed  Time stamp - 2023-03-14 16:18:55, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:18:55, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-14 16:19:05, Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-14 16:19:08, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-14 16:19:15, Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-14 16:19:18, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ulogd configuration has been changed  Time stamp - 2023-03-14 16:19:24, Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-14 16:19:24, +37063897689, +37065259965, Failed
