Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 13:40:28, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 13:40:31, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-10 13:40:37, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-10 13:40:43, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-10 13:40:50, Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-10 13:40:53, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-10 13:41:01, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-10 13:41:07, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-10 13:41:14, Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-10 13:41:20, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-10 13:41:26, Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-10 13:41:29, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-10 13:41:36, N/A, +37063897689, N/A, Failed
Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-10 13:41:45, Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-10 13:41:48, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 13:41:56, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 13:41:59, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-10 13:42:06, Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-10 13:42:09, +37063897689, +37065259965, Passed
