Event information
Expected message, Received message, Expected sender, Actual sender, Status
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 14:53:31, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 14:53:34, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-10 14:53:40, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-10 14:53:47, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-10 14:53:55, Router name - RUTX11  Event type - CONFIG  Event text - firewall configuration has been changed  Time stamp - 2023-03-10 14:53:58, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-10 14:54:05, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-10 14:54:11, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-10 14:54:19, Router name - RUTX11  Event type - CONFIG  Event text - wireless configuration has been changed  Time stamp - 2023-03-10 14:54:24, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-10 14:54:32, Router name - RUTX11  Event type - CONFIG  Event text - dropbear configuration has been changed  Time stamp - 2023-03-10 14:54:35, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - events_reporting configuration has been changed  Time stamp - 2023-03-10 14:54:42, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-10 14:53:47, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-10 14:54:51, Router name - RUTX11  Event type - CONFIG  Event text - periodic_reboot configuration has been changed  Time stamp - 2023-03-10 14:54:54, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 14:55:01, Router name - RUTX11  Event type - CONFIG  Event text - ping_reboot configuration has been changed  Time stamp - 2023-03-10 14:55:04, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-10 14:55:11, Router name - RUTX11  Event type - CONFIG  Event text - profiles configuration has been changed  Time stamp - 2023-03-10 14:55:15, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-10 14:55:21, Router name - RUTX11  Event type - CONFIG  Event text - ipsec configuration has been changed  Time stamp - 2023-03-10 14:55:25, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mwan3 configuration has been changed  Time stamp - 2023-03-10 14:55:31, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-10 14:55:38, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-10 14:55:46, Router name - RUTX11  Event type - CONFIG  Event text - blesem configuration has been changed  Time stamp - 2023-03-10 14:55:49, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - etherwake configuration has been changed  Time stamp - 2023-03-10 14:55:55, Router name - RUTX11  Event type - CONFIG  Event text - etherwake configuration has been changed  Time stamp - 2023-03-10 14:55:58, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-10 14:56:05, Router name - RUTX11  Event type - CONFIG  Event text - mosquitto configuration has been changed  Time stamp - 2023-03-10 14:56:08, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-10 14:56:15, Router name - RUTX11  Event type - CONFIG  Event text - mqtt_pub configuration has been changed  Time stamp - 2023-03-10 14:56:18, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ulogd configuration has been changed  Time stamp - 2023-03-10 14:56:25, Router name - RUTX11  Event type - CONFIG  Event text - ulogd configuration has been changed  Time stamp - 2023-03-10 14:56:28, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - simcard configuration has been changed  Time stamp - 2023-03-10 14:56:35, Router name - RUTX11  Event type - CONFIG  Event text - simcard configuration has been changed  Time stamp - 2023-03-10 14:56:38, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ddns configuration has been changed  Time stamp - 2023-03-10 14:56:45, Router name - RUTX11  Event type - CONFIG  Event text - ddns configuration has been changed  Time stamp - 2023-03-10 14:56:48, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ntpclient configuration has been changed  Time stamp - 2023-03-10 14:56:55, Router name - RUTX11  Event type - CONFIG  Event text - ntpclient configuration has been changed  Time stamp - 2023-03-10 14:56:58, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - sms_utils configuration has been changed  Time stamp - 2023-03-10 14:57:05, Router name - RUTX11  Event type - CONFIG  Event text - sms_utils configuration has been changed  Time stamp - 2023-03-10 14:57:08, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - vrrpd configuration has been changed  Time stamp - 2023-03-10 14:57:15, Router name - RUTX11  Event type - CONFIG  Event text - vrrpd configuration has been changed  Time stamp - 2023-03-10 14:57:18, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - ioman configuration has been changed  Time stamp - 2023-03-10 14:57:25, Router name - RUTX11  Event type - CONFIG  Event text - ioman configuration has been changed  Time stamp - 2023-03-10 14:57:28, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - upnpd configuration has been changed  Time stamp - 2023-03-10 14:57:35, Router name - RUTX11  Event type - CONFIG  Event text - upnpd configuration has been changed  Time stamp - 2023-03-10 14:57:38, +37063897689, +37065259965, Passed
Router name - RUTX11  Event type - CONFIG  Event text - dhcp configuration has been changed  Time stamp - 2023-03-10 14:57:44, Router name - RUTX11  Event type - CONFIG  Event text - network configuration has been changed  Time stamp - 2023-03-10 14:57:48, +37063897689, +37065259965, Failed
Router name - RUTX11  Event type - CONFIG  Event text - snmpd configuration has been changed  Time stamp - 2023-03-10 14:57:55, Router name - RUTX11  Event type - CONFIG  Event text - openvpn configuration has been changed  Time stamp - 2023-03-10 14:53:47, +37063897689, +37065259965, Failed
